Candidate,Polling,Pollster,Nationwide,State,Sample_Size,Voter_Type,DMY,Link
"Tim Walz",5.00,"Echelon Insights",1,NULL,1014,NULL,2025-04-10,https://echeloninsights.com/in-the-news/april-2025-verified-voter-omnibus-2-2-2-2/
"Alexandria Ocasio-Cortez",7.00,"Echelon Insights",1,NULL,1014,NULL,2025-04-10,https://echeloninsights.com/in-the-news/april-2025-verified-voter-omnibus-2-2-2-2/
"J.B. Pritzker",3.00,"Echelon Insights",1,NULL,1014,NULL,2025-04-10,https://echeloninsights.com/in-the-news/april-2025-verified-voter-omnibus-2-2-2-2/
"Cory Booker",11.00,"Echelon Insights",1,NULL,1014,NULL,2025-04-10,https://echeloninsights.com/in-the-news/april-2025-verified-voter-omnibus-2-2-2-2/
"Raphael Warnock",1.00,"Echelon Insights",1,NULL,1014,NULL,2025-04-10,https://echeloninsights.com/in-the-news/april-2025-verified-voter-omnibus-2-2-2-2/
"Kamala Harris",18.00,"Data For Progress",1,NULL,745,"Likely Voters",2025-04-09,https://www.filesforprogress.org/datasets/2025/4/dfp_zeteo_d_primary_2028.pdf
"Gavin Newsom",8.00,"Data For Progress",1,NULL,745,"Likely Voters",2025-04-09,https://www.filesforprogress.org/datasets/2025/4/dfp_zeteo_d_primary_2028.pdf
"Josh Shapiro",5.00,"Data For Progress",1,NULL,745,"Likely Voters",2025-04-09,https://www.filesforprogress.org/datasets/2025/4/dfp_zeteo_d_primary_2028.pdf
"Gretchen Whitmer",4.00,"Data For Progress",1,NULL,745,"Likely Voters",2025-04-09,https://www.filesforprogress.org/datasets/2025/4/dfp_zeteo_d_primary_2028.pdf
"Pete Buttigieg",14.00,"Data For Progress",1,NULL,745,"Likely Voters",2025-04-09,https://www.filesforprogress.org/datasets/2025/4/dfp_zeteo_d_primary_2028.pdf
"Tim Walz",4.00,"Data For Progress",1,NULL,745,"Likely Voters",2025-04-09,https://www.filesforprogress.org/datasets/2025/4/dfp_zeteo_d_primary_2028.pdf
"Alexandria Ocasio-Cortez",12.00,"Data For Progress",1,NULL,745,"Likely Voters",2025-04-09,https://www.filesforprogress.org/datasets/2025/4/dfp_zeteo_d_primary_2028.pdf
"J.B. Pritzker",4.00,"Data For Progress",1,NULL,745,"Likely Voters",2025-04-09,https://www.filesforprogress.org/datasets/2025/4/dfp_zeteo_d_primary_2028.pdf
"Cory Booker",12.00,"Data For Progress",1,NULL,745,"Likely Voters",2025-04-09,https://www.filesforprogress.org/datasets/2025/4/dfp_zeteo_d_primary_2028.pdf
"Amy Klobuchar",2.00,"Data For Progress",1,NULL,745,"Likely Voters",2025-04-09,https://www.filesforprogress.org/datasets/2025/4/dfp_zeteo_d_primary_2028.pdf
"Andy Beshear",2.00,"Data For Progress",1,NULL,745,"Likely Voters",2025-04-09,https://www.filesforprogress.org/datasets/2025/4/dfp_zeteo_d_primary_2028.pdf
"Kamala Harris",28.00,"Yale Youth Poll",1,NULL,NULL,NULL,2025-04-01,https://docs.google.com/spreadsheets/d/1JhSWPVcKK6tdufsa52TeRk3JRwSsgtglVQP1ZAa8fg4/edit?gid=0#gid=0
"Gavin Newsom",6.00,"Yale Youth Poll",1,NULL,NULL,NULL,2025-04-01,https://docs.google.com/spreadsheets/d/1JhSWPVcKK6tdufsa52TeRk3JRwSsgtglVQP1ZAa8fg4/edit?gid=0#gid=0
"Josh Shapiro",5.00,"Yale Youth Poll",1,NULL,NULL,NULL,2025-04-01,https://docs.google.com/spreadsheets/d/1JhSWPVcKK6tdufsa52TeRk3JRwSsgtglVQP1ZAa8fg4/edit?gid=0#gid=0
"Gretchen Whitmer",3.00,"Yale Youth Poll",1,NULL,NULL,NULL,2025-04-01,https://docs.google.com/spreadsheets/d/1JhSWPVcKK6tdufsa52TeRk3JRwSsgtglVQP1ZAa8fg4/edit?gid=0#gid=0
"Pete Buttigieg",14.00,"Yale Youth Poll",1,NULL,NULL,NULL,2025-04-01,https://docs.google.com/spreadsheets/d/1JhSWPVcKK6tdufsa52TeRk3JRwSsgtglVQP1ZAa8fg4/edit?gid=0#gid=0
"Mark Kelly",4.00,"Yale Youth Poll",1,NULL,NULL,NULL,2025-04-01,https://docs.google.com/spreadsheets/d/1JhSWPVcKK6tdufsa52TeRk3JRwSsgtglVQP1ZAa8fg4/edit?gid=0#gid=0
"Alexandria Ocasio-Cortez",21.00,"Yale Youth Poll",1,NULL,NULL,NULL,2025-04-01,https://docs.google.com/spreadsheets/d/1JhSWPVcKK6tdufsa52TeRk3JRwSsgtglVQP1ZAa8fg4/edit?gid=0#gid=0
"J.B. Pritzker",3.00,"Yale Youth Poll",1,NULL,NULL,NULL,2025-04-01,https://docs.google.com/spreadsheets/d/1JhSWPVcKK6tdufsa52TeRk3JRwSsgtglVQP1ZAa8fg4/edit?gid=0#gid=0
"Andy Beshear",3.00,"Yale Youth Poll",1,NULL,NULL,NULL,2025-04-01,https://docs.google.com/spreadsheets/d/1JhSWPVcKK6tdufsa52TeRk3JRwSsgtglVQP1ZAa8fg4/edit?gid=0#gid=0
"Kamala Harris",24.00,"Atlas Intel",1,NULL,2347,NULL,2025-04-11,https://cdn.atlasintel.org/e3edc86b-aac7-4ebe-9ef7-6a8346f658f6.pdf?_gl=1*1po007n*_ga*NjMxOTI2NjYxLjE3NDQ5Mjc1MzM.*_ga_W78QD5CNP1*MTc0NDkyNzUzMy4xLjAuMTc0NDkyNzUzMy4wLjAuMA
"Cory Booker",9.00,"Atlas Intel",1,NULL,2347,NULL,2025-04-11,https://cdn.atlasintel.org/e3edc86b-aac7-4ebe-9ef7-6a8346f658f6.pdf?_gl=1*1po007n*_ga*NjMxOTI2NjYxLjE3NDQ5Mjc1MzM.*_ga_W78QD5CNP1*MTc0NDkyNzUzMy4xLjAuMTc0NDkyNzUzMy4wLjAuMA
"Pete Buttigieg",28.00,"Atlas Intel",1,NULL,2347,NULL,2025-04-11,https://cdn.atlasintel.org/e3edc86b-aac7-4ebe-9ef7-6a8346f658f6.pdf?_gl=1*1po007n*_ga*NjMxOTI2NjYxLjE3NDQ5Mjc1MzM.*_ga_W78QD5CNP1*MTc0NDkyNzUzMy4xLjAuMTc0NDkyNzUzMy4wLjAuMA
"Gavin Newsom",7.00,"Atlas Intel",1,NULL,2347,NULL,2025-04-11,https://cdn.atlasintel.org/e3edc86b-aac7-4ebe-9ef7-6a8346f658f6.pdf?_gl=1*1po007n*_ga*NjMxOTI2NjYxLjE3NDQ5Mjc1MzM.*_ga_W78QD5CNP1*MTc0NDkyNzUzMy4xLjAuMTc0NDkyNzUzMy4wLjAuMA
"Alexandria Ocasio-Cortez",16.00,"Atlas Intel",1,NULL,2347,NULL,2025-04-11,https://cdn.atlasintel.org/e3edc86b-aac7-4ebe-9ef7-6a8346f658f6.pdf?_gl=1*1po007n*_ga*NjMxOTI2NjYxLjE3NDQ5Mjc1MzM.*_ga_W78QD5CNP1*MTc0NDkyNzUzMy4xLjAuMTc0NDkyNzUzMy4wLjAuMA
"Gretchen Whitmer",9.00,"Atlas Intel",1,NULL,2347,NULL,2025-04-11,https://cdn.atlasintel.org/e3edc86b-aac7-4ebe-9ef7-6a8346f658f6.pdf?_gl=1*1po007n*_ga*NjMxOTI2NjYxLjE3NDQ5Mjc1MzM.*_ga_W78QD5CNP1*MTc0NDkyNzUzMy4xLjAuMTc0NDkyNzUzMy4wLjAuMA
"Andy Beshear",2.00,"Atlas Intel",1,NULL,2347,NULL,2025-04-11,https://cdn.atlasintel.org/e3edc86b-aac7-4ebe-9ef7-6a8346f658f6.pdf?_gl=1*1po007n*_ga*NjMxOTI2NjYxLjE3NDQ5Mjc1MzM.*_ga_W78QD5CNP1*MTc0NDkyNzUzMy4xLjAuMTc0NDkyNzUzMy4wLjAuMA
"Chris Murphy",2.00,"Atlas Intel",1,NULL,2347,NULL,2025-04-11,https://cdn.atlasintel.org/e3edc86b-aac7-4ebe-9ef7-6a8346f658f6.pdf?_gl=1*1po007n*_ga*NjMxOTI2NjYxLjE3NDQ5Mjc1MzM.*_ga_W78QD5CNP1*MTc0NDkyNzUzMy4xLjAuMTc0NDkyNzUzMy4wLjAuMA
"Raphael Warnock",2.00,"Atlas Intel",1,NULL,2347,NULL,2025-04-11,https://cdn.atlasintel.org/e3edc86b-aac7-4ebe-9ef7-6a8346f658f6.pdf?_gl=1*1po007n*_ga*NjMxOTI2NjYxLjE3NDQ5Mjc1MzM.*_ga_W78QD5CNP1*MTc0NDkyNzUzMy4xLjAuMTc0NDkyNzUzMy4wLjAuMA
"Kamala Harris",30.00,"Quantus Insights",1,NULL,1000,"Registered Voters",2025-04-21,https://quantusinsights.org/f/split-nation-unready-party-the-strategic-drift-of-2025
"Gavin Newsom",7.00,"Quantus Insights",1,NULL,1000,"Registered Voters",2025-04-21,https://quantusinsights.org/f/split-nation-unready-party-the-strategic-drift-of-2025
"Pete Buttigieg",13.00,"Quantus Insights",1,NULL,1000,"Registered Voters",2025-04-21,https://quantusinsights.org/f/split-nation-unready-party-the-strategic-drift-of-2025
"Cory Booker",13.00,"Quantus Insights",1,NULL,1000,"Registered Voters",2025-04-21,https://quantusinsights.org/f/split-nation-unready-party-the-strategic-drift-of-2025
"Josh Shapiro",5.00,"Quantus Insights",1,NULL,1000,"Registered Voters",2025-04-21,https://quantusinsights.org/f/split-nation-unready-party-the-strategic-drift-of-2025
"Tim Walz",5.00,"Quantus Insights",1,NULL,1000,"Registered Voters",2025-04-21,https://quantusinsights.org/f/split-nation-unready-party-the-strategic-drift-of-2025
"Alexandria Ocasio-Cortez",14.00,"Quantus Insights",1,NULL,1000,"Registered Voters",2025-04-21,https://quantusinsights.org/f/split-nation-unready-party-the-strategic-drift-of-2025
"Kamala Harris",28.00,"YouGov/The Times",1,NULL,1296,NULL,2025-04-22,https://d3nkl3psvxxpe9.cloudfront.net/documents/times_20250425.pdf
"Pete Buttigieg",9.00,"YouGov/The Times",1,NULL,1296,NULL,2025-04-22,https://d3nkl3psvxxpe9.cloudfront.net/documents/times_20250425.pdf
"Cory Booker",7.00,"YouGov/The Times",1,NULL,1296,NULL,2025-04-22,https://d3nkl3psvxxpe9.cloudfront.net/documents/times_20250425.pdf
"Gavin Newsom",7.00,"YouGov/The Times",1,NULL,1296,NULL,2025-04-22,https://d3nkl3psvxxpe9.cloudfront.net/documents/times_20250425.pdf
"Alexandra Ocasio-Cortez",7.00,"YouGov/The Times",1,NULL,1296,NULL,2025-04-22,https://d3nkl3psvxxpe9.cloudfront.net/documents/times_20250425.pdf
"Josh Shapiro",4.00,"YouGov/The Times",1,NULL,1296,NULL,2025-04-22,https://d3nkl3psvxxpe9.cloudfront.net/documents/times_20250425.pdf
"Tim Walz",3.00,"YouGov/The Times",1,NULL,1296,NULL,2025-04-22,https://d3nkl3psvxxpe9.cloudfront.net/documents/times_20250425.pdf
"J.B. Pritzker",3.00,"YouGov/The Times",1,NULL,1296,NULL,2025-04-22,https://d3nkl3psvxxpe9.cloudfront.net/documents/times_20250425.pdf
"Andy Beshear",1.00,"YouGov/The Times",1,NULL,1296,NULL,2025-04-22,https://d3nkl3psvxxpe9.cloudfront.net/documents/times_20250425.pdf
"Rahm Emanuel",1.00,"YouGov/The Times",1,NULL,1296,NULL,2025-04-22,https://d3nkl3psvxxpe9.cloudfront.net/documents/times_20250425.pdf
"Mark Kelly",1.00,"YouGov/The Times",1,NULL,1296,NULL,2025-04-22,https://d3nkl3psvxxpe9.cloudfront.net/documents/times_20250425.pdf
"Gretchen Whitmer",1.00,"YouGov/The Times",1,NULL,1296,NULL,2025-04-22,https://d3nkl3psvxxpe9.cloudfront.net/documents/times_20250425.pdf
"Kamala Harris",36.00,"McLaughlin & Associates",1,NULL,418,"Likely Voters",2025-02-11,https://mclaughlinonline.com/pols/wp-content/uploads/2025/02/National-February-Presentation-RELEASE-02-18-25.pdf
"Pete Buttigieg",8.00,"McLaughlin & Associates",1,NULL,418,"Likely Voters",2025-02-11,https://mclaughlinonline.com/pols/wp-content/uploads/2025/02/National-February-Presentation-RELEASE-02-18-25.pdf
"Gavin Newsom",4.00,"McLaughlin & Associates",1,NULL,418,"Likely Voters",2025-02-11,https://mclaughlinonline.com/pols/wp-content/uploads/2025/02/National-February-Presentation-RELEASE-02-18-25.pdf
"Alexandria Ocasio-Cortez",3.00,"McLaughlin & Associates",1,NULL,418,"Likely Voters",2025-02-11,https://mclaughlinonline.com/pols/wp-content/uploads/2025/02/National-February-Presentation-RELEASE-02-18-25.pdf
"Josh Shapiro",3.00,"McLaughlin & Associates",1,NULL,418,"Likely Voters",2025-02-11,https://mclaughlinonline.com/pols/wp-content/uploads/2025/02/National-February-Presentation-RELEASE-02-18-25.pdf
"Tim Walz",4.00,"McLaughlin & Associates",1,NULL,418,"Likely Voters",2025-02-11,https://mclaughlinonline.com/pols/wp-content/uploads/2025/02/National-February-Presentation-RELEASE-02-18-25.pdf
"Amy Klobuchar",3.00,"McLaughlin & Associates",1,NULL,418,"Likely Voters",2025-02-11,https://mclaughlinonline.com/pols/wp-content/uploads/2025/02/National-February-Presentation-RELEASE-02-18-25.pdf
"Gretchen Whitmer",4.00,"McLaughlin & Associates",1,NULL,418,"Likely Voters",2025-02-11,https://mclaughlinonline.com/pols/wp-content/uploads/2025/02/National-February-Presentation-RELEASE-02-18-25.pdf
"Roy Cooper",2.00,"McLaughlin & Associates",1,NULL,418,"Likely Voters",2025-02-11,https://mclaughlinonline.com/pols/wp-content/uploads/2025/02/National-February-Presentation-RELEASE-02-18-25.pdf
"J.B. Pritzker",2.00,"McLaughlin & Associates",1,NULL,418,"Likely Voters",2025-02-11,https://mclaughlinonline.com/pols/wp-content/uploads/2025/02/National-February-Presentation-RELEASE-02-18-25.pdf
"Beto O'Rourke",2.00,"McLaughlin & Associates",1,NULL,418,"Likely Voters",2025-02-11,https://mclaughlinonline.com/pols/wp-content/uploads/2025/02/National-February-Presentation-RELEASE-02-18-25.pdf
"Kamala Harris",30.00,"McLaughlin & Associates",1,NULL,442,"Likely Voters",2025-04-24,https://mclaughlinonline.com/pols/wp-content/uploads/2025/05/National-April-Presentation-RELEASE-04-29-25.pdf
"Pete Buttigieg",6.00,"McLaughlin & Associates",1,NULL,442,"Likely Voters",2025-04-24,https://mclaughlinonline.com/pols/wp-content/uploads/2025/05/National-April-Presentation-RELEASE-04-29-25.pdf
"Gavin Newsom",8.00,"McLaughlin & Associates",1,NULL,442,"Likely Voters",2025-04-24,https://mclaughlinonline.com/pols/wp-content/uploads/2025/05/National-April-Presentation-RELEASE-04-29-25.pdf
"Alexandria Ocasio-Cortez",8.00,"McLaughlin & Associates",1,NULL,442,"Likely Voters",2025-04-24,https://mclaughlinonline.com/pols/wp-content/uploads/2025/05/National-April-Presentation-RELEASE-04-29-25.pdf
"Josh Shapiro",4.00,"McLaughlin & Associates",1,NULL,442,"Likely Voters",2025-04-24,https://mclaughlinonline.com/pols/wp-content/uploads/2025/05/National-April-Presentation-RELEASE-04-29-25.pdf
"Tim Walz",4.00,"McLaughlin & Associates",1,NULL,442,"Likely Voters",2025-04-24,https://mclaughlinonline.com/pols/wp-content/uploads/2025/05/National-April-Presentation-RELEASE-04-29-25.pdf
"Amy Klobuchar",2.00,"McLaughlin & Associates",1,NULL,442,"Likely Voters",2025-04-24,https://mclaughlinonline.com/pols/wp-content/uploads/2025/05/National-April-Presentation-RELEASE-04-29-25.pdf
"Gretchen Whitmer",2.00,"McLaughlin & Associates",1,NULL,442,"Likely Voters",2025-04-24,https://mclaughlinonline.com/pols/wp-content/uploads/2025/05/National-April-Presentation-RELEASE-04-29-25.pdf
"Roy Cooper",2.00,"McLaughlin & Associates",1,NULL,442,"Likely Voters",2025-04-24,https://mclaughlinonline.com/pols/wp-content/uploads/2025/05/National-April-Presentation-RELEASE-04-29-25.pdf
"Cory Booker",7.00,"McLaughlin & Associates",1,NULL,442,"Likely Voters",2025-04-24,https://mclaughlinonline.com/pols/wp-content/uploads/2025/05/National-April-Presentation-RELEASE-04-29-25.pdf
"J.B. Pritzker",3.00,"McLaughlin & Associates",1,NULL,442,"Likely Voters",2025-04-24,https://mclaughlinonline.com/pols/wp-content/uploads/2025/05/National-April-Presentation-RELEASE-04-29-25.pdf
"Jasmine Crockett",2.00,"McLaughlin & Associates",1,NULL,442,"Likely Voters",2025-04-24,https://mclaughlinonline.com/pols/wp-content/uploads/2025/05/National-April-Presentation-RELEASE-04-29-25.pdf
"Kamala Harris",33.00,"McLaughlin & Associates",1,NULL,414,"Likely Voters",2025-01-22,https://mclaughlinonline.com/pols/wp-content/uploads/2025/01/National-January-Presentation-RELEASE-01-28-25.pdf
"Pete Buttigieg",9.00,"McLaughlin & Associates",1,NULL,414,"Likely Voters",2025-01-22,https://mclaughlinonline.com/pols/wp-content/uploads/2025/01/National-January-Presentation-RELEASE-01-28-25.pdf
"Gavin Newsom",7.00,"McLaughlin & Associates",1,NULL,414,"Likely Voters",2025-01-22,https://mclaughlinonline.com/pols/wp-content/uploads/2025/01/National-January-Presentation-RELEASE-01-28-25.pdf
"Alexandria Ocasio-Cortez",6.00,"McLaughlin & Associates",1,NULL,414,"Likely Voters",2025-01-22,https://mclaughlinonline.com/pols/wp-content/uploads/2025/01/National-January-Presentation-RELEASE-01-28-25.pdf
"Josh Shapiro",3.00,"McLaughlin & Associates",1,NULL,414,"Likely Voters",2025-01-22,https://mclaughlinonline.com/pols/wp-content/uploads/2025/01/National-January-Presentation-RELEASE-01-28-25.pdf
"Tim Walz",3.00,"McLaughlin & Associates",1,NULL,414,"Likely Voters",2025-01-22,https://mclaughlinonline.com/pols/wp-content/uploads/2025/01/National-January-Presentation-RELEASE-01-28-25.pdf
"Amy Klobuchar",3.00,"McLaughlin & Associates",1,NULL,414,"Likely Voters",2025-01-22,https://mclaughlinonline.com/pols/wp-content/uploads/2025/01/National-January-Presentation-RELEASE-01-28-25.pdf
"Gretchen Whitmer",3.00,"McLaughlin & Associates",1,NULL,414,"Likely Voters",2025-01-22,https://mclaughlinonline.com/pols/wp-content/uploads/2025/01/National-January-Presentation-RELEASE-01-28-25.pdf
"J.B. Pritzker",1.00,"McLaughlin & Associates",1,NULL,414,"Likely Voters",2025-01-22,https://mclaughlinonline.com/pols/wp-content/uploads/2025/01/National-January-Presentation-RELEASE-01-28-25.pdf
"Beto O'Rourke",1.00,"McLaughlin & Associates",1,NULL,414,"Likely Voters",2025-01-22,https://mclaughlinonline.com/pols/wp-content/uploads/2025/01/National-January-Presentation-RELEASE-01-28-25.pdf
"Kamala Harris",30.00,"J.L. Partners",1,NULL,975,"Registered Voters",2025-05-13,https://nypost.com/2025/05/16/us-news/jd-vance-clear-favorite-to-win-the-gop-nomination-in-2028-poll/?utm_campaign=nypost&utm_medium=social&utm_source=twitter
"Alexandria Ocasio-Cortez",6.00,"J.L. Partners",1,NULL,975,"Registered Voters",2025-05-13,https://nypost.com/2025/05/16/us-news/jd-vance-clear-favorite-to-win-the-gop-nomination-in-2028-poll/?utm_campaign=nypost&utm_medium=social&utm_source=twitter
"Gavin Newsom",7.00,"J.L. Partners",1,NULL,975,"Registered Voters",2025-05-13,https://nypost.com/2025/05/16/us-news/jd-vance-clear-favorite-to-win-the-gop-nomination-in-2028-poll/?utm_campaign=nypost&utm_medium=social&utm_source=twitter
"Josh Shapiro",7.00,"J.L. Partners",1,NULL,975,"Registered Voters",2025-05-13,https://nypost.com/2025/05/16/us-news/jd-vance-clear-favorite-to-win-the-gop-nomination-in-2028-poll/?utm_campaign=nypost&utm_medium=social&utm_source=twitter
"Pete Buttigieg",8.00,"J.L. Partners",1,NULL,975,"Registered Voters",2025-05-13,https://nypost.com/2025/05/16/us-news/jd-vance-clear-favorite-to-win-the-gop-nomination-in-2028-poll/?utm_campaign=nypost&utm_medium=social&utm_source=twitter
"Kamala Harris",29.00,"McLaughlin & Associates",1,NULL,439,"Likely Voters",2025-05-21,https://mclaughlinonline.com/pols/wp-content/uploads/2025/05/National-May-Presentation-RELEASE-05-27-25.pdf
"Pete Buttigieg",10.00,"McLaughlin & Associates",1,NULL,439,"Likely Voters",2025-05-21,https://mclaughlinonline.com/pols/wp-content/uploads/2025/05/National-May-Presentation-RELEASE-05-27-25.pdf
"Gavin Newsom",4.00,"McLaughlin & Associates",1,NULL,439,"Likely Voters",2025-05-21,https://mclaughlinonline.com/pols/wp-content/uploads/2025/05/National-May-Presentation-RELEASE-05-27-25.pdf
"Alexandria Ocasio-Cortez",9.00,"McLaughlin & Associates",1,NULL,439,"Likely Voters",2025-05-21,https://mclaughlinonline.com/pols/wp-content/uploads/2025/05/National-May-Presentation-RELEASE-05-27-25.pdf
"Josh Shapiro",6.00,"McLaughlin & Associates",1,NULL,439,"Likely Voters",2025-05-21,hhttps://mclaughlinonline.com/pols/wp-content/uploads/2025/05/National-May-Presentation-RELEASE-05-27-25.pdf
"Tim Walz",3.00,"McLaughlin & Associates",1,NULL,439,"Likely Voters",2025-05-21,https://mclaughlinonline.com/pols/wp-content/uploads/2025/05/National-May-Presentation-RELEASE-05-27-25.pdf
"Amy Klobuchar",3.00,"McLaughlin & Associates",1,NULL,439,"Likely Voters",2025-05-21,https://mclaughlinonline.com/pols/wp-content/uploads/2025/05/National-May-Presentation-RELEASE-05-27-25.pdf
"Gretchen Whitmer",3.00,"McLaughlin & Associates",1,NULL,439,"Likely Voters",2025-05-21,https://mclaughlinonline.com/pols/wp-content/uploads/2025/05/National-May-Presentation-RELEASE-05-27-25.pdf
"Roy Cooper",1.00,"McLaughlin & Associates",1,NULL,439,"Likely Voters",2025-05-21,https://mclaughlinonline.com/pols/wp-content/uploads/2025/05/National-May-Presentation-RELEASE-05-27-25.pdf
"Cory Booker",7.00,"McLaughlin & Associates",1,NULL,439,"Likely Voters",2025-05-21,https://mclaughlinonline.com/pols/wp-content/uploads/2025/05/National-May-Presentation-RELEASE-05-27-25.pdf
"J.B. Pritzker",2.00,"McLaughlin & Associates",1,NULL,439,"Likely Voters",2025-05-21,https://mclaughlinonline.com/pols/wp-content/uploads/2025/05/National-May-Presentation-RELEASE-05-27-25.pdf
"Jasmine Crockett",2.00,"McLaughlin & Associates",1,NULL,439,"Likely Voters",2025-05-21,https://mclaughlinonline.com/pols/wp-content/uploads/2025/05/National-May-Presentation-RELEASE-05-27-25.pdf
"Kamala Harris",16.60,"Atlas Intel",1,NULL,930,NULL,2025-05-22,https://cdn.atlasintel.org/20c89f8f-d65e-4991-a491-388ae96986c9.pdf
"Cory Booker",10.40,"Atlas Intel",1,NULL,930,NULL,2025-05-22,https://cdn.atlasintel.org/20c89f8f-d65e-4991-a491-388ae96986c9.pdf
"Pete Buttigieg",31.50,"Atlas Intel",1,NULL,930,NULL,2025-05-22,https://cdn.atlasintel.org/20c89f8f-d65e-4991-a491-388ae96986c9.pdf
"Gavin Newsom",7.10,"Atlas Intel",1,NULL,930,NULL,2025-05-22,https://cdn.atlasintel.org/20c89f8f-d65e-4991-a491-388ae96986c9.pdf
"Alexandria Ocasio-Cortez",19.40,"Atlas Intel",1,NULL,930,NULL,2025-05-22,https://cdn.atlasintel.org/20c89f8f-d65e-4991-a491-388ae96986c9.pdf
"Gretchen Whitmer",3.70,"Atlas Intel",1,NULL,930,NULL,2025-05-22,https://cdn.atlasintel.org/20c89f8f-d65e-4991-a491-388ae96986c9.pdf
"Josh Shapiro",4.80,"Atlas Intel",1,NULL,930,NULL,2025-05-22,https://cdn.atlasintel.org/20c89f8f-d65e-4991-a491-388ae96986c9.pdf
"Raphael Warnock",1.40,"Atlas Intel",1,NULL,930,NULL,2025-05-22,https://cdn.atlasintel.org/20c89f8f-d65e-4991-a491-388ae96986c9.pdf
"Kamala Harris",16.60,"Atlas Intel",1,NULL,930,NULL,2025-05-22,https://cdn.atlasintel.org/20c89f8f-d65e-4991-a491-388ae96986c9.pdf
"Cory Booker",10.40,"Atlas Intel",1,NULL,930,NULL,2025-05-22,https://cdn.atlasintel.org/20c89f8f-d65e-4991-a491-388ae96986c9.pdf
"Pete Buttigieg",31.50,"Atlas Intel",1,NULL,930,NULL,2025-05-22,https://cdn.atlasintel.org/20c89f8f-d65e-4991-a491-388ae96986c9.pdf
"Gavin Newsom",7.10,"Atlas Intel",1,NULL,930,NULL,2025-05-22,https://cdn.atlasintel.org/20c89f8f-d65e-4991-a491-388ae96986c9.pdf
"Alexandria Ocasio-Cortez",19.40,"Atlas Intel",1,NULL,930,NULL,2025-05-22,https://cdn.atlasintel.org/20c89f8f-d65e-4991-a491-388ae96986c9.pdf
"Gretchen Whitmer",3.70,"Atlas Intel",1,NULL,930,NULL,2025-05-22,https://cdn.atlasintel.org/20c89f8f-d65e-4991-a491-388ae96986c9.pdf
"Josh Shapiro",4.80,"Atlas Intel",1,NULL,930,NULL,2025-05-22,https://cdn.atlasintel.org/20c89f8f-d65e-4991-a491-388ae96986c9.pdf
"Raphael Warnock",1.40,"Atlas Intel",1,NULL,930,NULL,2025-05-22,https://cdn.atlasintel.org/20c89f8f-d65e-4991-a491-388ae96986c9.pdf
"Kamala Harris",15.30,"Capitol Weekly",NULL,California,1122,NULL,2025-05-30,https://capitolweekly.net/for-california-dems-will-the-past-be-prologue/
"Gavin Newsom",17.20,"Capitol Weekly",NULL,California,1122,NULL,2025-05-30,https://capitolweekly.net/for-california-dems-will-the-past-be-prologue/
"Pete Buttigieg",7.70,"Capitol Weekly",NULL,California,1122,NULL,2025-05-30,https://capitolweekly.net/for-california-dems-will-the-past-be-prologue/
"Gretchen Whitmer",5.50,"Capitol Weekly",NULL,California,1122,NULL,2025-05-30,https://capitolweekly.net/for-california-dems-will-the-past-be-prologue/
"Alexandria Ocasio-Cortez",9.90,"Capitol Weekly",NULL,California,1122,NULL,2025-05-30,https://capitolweekly.net/for-california-dems-will-the-past-be-prologue/
"Josh Shapiro",6.30,"Capitol Weekly",NULL,California,1122,NULL,2025-05-30,https://capitolweekly.net/for-california-dems-will-the-past-be-prologue/
"Pete Buttigieg",10.00,YouGov/Economist,1,NULL,650,"Registered Voters",2025-03-30,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_S1a74K0.pdf
"Kamala Harris",25.00,YouGov/Economist,1,NULL,650,"Registered Voters",2025-03-30,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_S1a74K0.pdf
"Gavin Newsom",7.00,YouGov/Economist,1,NULL,650,"Registered Voters",2025-03-30,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_S1a74K0.pdf
