Candidate,Polling,Pollster,Nationwide,State,Sample_Size,Voter_Type,DMY,Link
"Alexandria Ocasio-Cortez",8.00,YouGov/Economist,1,NULL,650,"Registered Voters",2025-03-30,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_S1a74K0.pdf
"Tim Walz",4.00,YouGov/Economist,1,NULL,650,"Registered Voters",2025-03-30,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_S1a74K0.pdf
"Mark Kelly",4.00,YouGov/Economist,1,NULL,650,"Registered Voters",2025-03-30,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_S1a74K0.pdf
"Gretchen Whitmer",2.00,YouGov/Economist,1,NULL,650,"Registered Voters",2025-03-30,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_S1a74K0.pdf
"Cory Booker",1.00,YouGov/Economist,1,NULL,650,"Registered Voters",2025-03-30,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_S1a74K0.pdf
"Pete Buttigieg",23.00,"Victory Insights",NULL,Florida,600,NULL,2025-06-07,https://floridapolitics.com/archives/742956-excluding-undecideds-pete-buttigieg-leads-in-florida-dems-2028-poll/
"Alexandria Ocasio-Cortez",14.00,"Victory Insights",NULL,Florida,600,NULL,2025-06-07,https://floridapolitics.com/archives/742956-excluding-undecideds-pete-buttigieg-leads-in-florida-dems-2028-poll/
"Cory Booker",12.00,"Victory Insights",NULL,Florida,600,NULL,2025-06-07,https://floridapolitics.com/archives/742956-excluding-undecideds-pete-buttigieg-leads-in-florida-dems-2028-poll/
"Gavin Newsom",12.00,"Victory Insights",NULL,Florida,600,NULL,2025-06-07,https://floridapolitics.com/archives/742956-excluding-undecideds-pete-buttigieg-leads-in-florida-dems-2028-poll/
"Andy Beshear",5.00,"Victory Insights",NULL,Florida,600,NULL,2025-06-07,https://floridapolitics.com/archives/742956-excluding-undecideds-pete-buttigieg-leads-in-florida-dems-2028-poll/
"Josh Shapiro",3.00,"Victory Insights",NULL,Florida,600,NULL,2025-06-07,https://floridapolitics.com/archives/742956-excluding-undecideds-pete-buttigieg-leads-in-florida-dems-2028-poll/
"Kamala Harris",34.00,"Morning Consult",1,NULL,1000,"Registered Voters",2025-06-13,https://pro.morningconsult.com/analysis/2028-democratic-primary-gavin-newsom-polling-june-2025
"Gavin Newsom",11.00,"Morning Consult",1,NULL,1000,"Registered Voters",2025-06-13,https://pro.morningconsult.com/analysis/2028-democratic-primary-gavin-newsom-polling-june-2025
"Josh Shapiro",2.00,"Morning Consult",1,NULL,1000,"Registered Voters",2025-06-13,https://pro.morningconsult.com/analysis/2028-democratic-primary-gavin-newsom-polling-june-2025
"Pete Buttigieg",7.00,"Morning Consult",1,NULL,1000,"Registered Voters",2025-06-13,https://pro.morningconsult.com/analysis/2028-democratic-primary-gavin-newsom-polling-june-2025
"Gretchen Whitmer",2.00,"Morning Consult",1,NULL,1000,"Registered Voters",2025-06-13,https://pro.morningconsult.com/analysis/2028-democratic-primary-gavin-newsom-polling-june-2025
"Tim Walz",4.00,"Morning Consult",1,NULL,1000,"Registered Voters",2025-06-13,https://pro.morningconsult.com/analysis/2028-democratic-primary-gavin-newsom-polling-june-2025
"Alexandria Ocasio-Cortez",7.00,"Morning Consult",1,NULL,1000,"Registered Voters",2025-06-13,https://pro.morningconsult.com/analysis/2028-democratic-primary-gavin-newsom-polling-june-2025
"Cory Booker",3.00,"Morning Consult",1,NULL,1000,"Registered Voters",2025-06-13,https://pro.morningconsult.com/analysis/2028-democratic-primary-gavin-newsom-polling-june-2025
"Amy Klobuchar",2.00,"Morning Consult",1,NULL,1000,"Registered Voters",2025-06-13,https://pro.morningconsult.com/analysis/2028-democratic-primary-gavin-newsom-polling-june-2025
"Andy Beshear",1.00,"Morning Consult",1,NULL,1000,"Registered Voters",2025-06-13,https://pro.morningconsult.com/analysis/2028-democratic-primary-gavin-newsom-polling-june-2025
"J.B. Pritzker",2.00,"Morning Consult",1,NULL,1000,"Registered Voters",2025-06-13,https://pro.morningconsult.com/analysis/2028-democratic-primary-gavin-newsom-polling-june-2025
"Kamala Harris",30.00,"McLaughlin & Associates",1,NULL,434,"Likely Voters",2025-06-10,https://mclaughlinonline.com/pols/wp-content/uploads/2025/06/National-June-Presentation-RELEASE-6-16-25.pdf
"Pete Buttigieg",10.00,"McLaughlin & Associates",1,NULL,434,"Likely Voters",2025-06-10,https://mclaughlinonline.com/pols/wp-content/uploads/2025/06/National-June-Presentation-RELEASE-6-16-25.pdf
"Gavin Newsom",8.00,"McLaughlin & Associates",1,NULL,434,"Likely Voters",2025-06-10,https://mclaughlinonline.com/pols/wp-content/uploads/2025/06/National-June-Presentation-RELEASE-6-16-25.pdf
"Alexandria Ocasio-Cortez",7.00,"McLaughlin & Associates",1,NULL,434,"Likely Voters",2025-06-10,https://mclaughlinonline.com/pols/wp-content/uploads/2025/06/National-June-Presentation-RELEASE-6-16-25.pdf
"Josh Shapiro",6.00,"McLaughlin & Associates",1,NULL,434,"Likely Voters",2025-06-10,https://mclaughlinonline.com/pols/wp-content/uploads/2025/06/National-June-Presentation-RELEASE-6-16-25.pdf
"Tim Walz",4.00,"McLaughlin & Associates",1,NULL,434,"Likely Voters",2025-06-10,https://mclaughlinonline.com/pols/wp-content/uploads/2025/06/National-June-Presentation-RELEASE-6-16-25.pdf
"Amy Klobuchar",2.00,"McLaughlin & Associates",1,NULL,434,"Likely Voters",2025-06-10,https://mclaughlinonline.com/pols/wp-content/uploads/2025/06/National-June-Presentation-RELEASE-6-16-25.pdf
"Gretchen Whitmer",3.00,"McLaughlin & Associates",1,NULL,434,"Likely Voters",2025-06-10,https://mclaughlinonline.com/pols/wp-content/uploads/2025/06/National-June-Presentation-RELEASE-6-16-25.pdf
"Roy Cooper",1.00,"McLaughlin & Associates",1,NULL,434,"Likely Voters",2025-06-10,https://mclaughlinonline.com/pols/wp-content/uploads/2025/06/National-June-Presentation-RELEASE-6-16-25.pdf
"Cory Booker",7.00,"McLaughlin & Associates",1,NULL,434,"Likely Voters",2025-06-10,https://mclaughlinonline.com/pols/wp-content/uploads/2025/06/National-June-Presentation-RELEASE-6-16-25.pdf
"J.B. Pritzker",1.00,"McLaughlin & Associates",1,NULL,434,"Likely Voters",2025-06-10,https://mclaughlinonline.com/pols/wp-content/uploads/2025/06/National-June-Presentation-RELEASE-6-16-25.pdf
"Rahm Emanuel",2.00,"McLaughlin & Associates",1,NULL,434,"Likely Voters",2025-06-10,https://mclaughlinonline.com/pols/wp-content/uploads/2025/06/National-June-Presentation-RELEASE-6-16-25.pdf
"Kamala Harris",26.00,co/efficient,1,NULL,1035,"Likely Voters",2025-06-12,https://coefficient.org/national-ice-protests-study/
"Gavin Newsom",21.00,co/efficient,1,NULL,1035,"Likely Voters",2025-06-12,https://coefficient.org/national-ice-protests-study/
"Pete Buttigieg",11.00,co/efficient,1,NULL,1035,"Likely Voters",2025-06-12,https://coefficient.org/national-ice-protests-study/
"Alexandria Ocasio-Cortez",14.00,co/efficient,1,NULL,1035,"Likely Voters",2025-06-12,https://coefficient.org/national-ice-protests-study/
"Tim Walz",10.00,co/efficient,1,NULL,1035,"Likely Voters",2025-06-12,https://coefficient.org/national-ice-protests-study/
"Josh Shapiro",3.00,co/efficient,1,NULL,1035,"Likely Voters",2025-06-12,https://coefficient.org/national-ice-protests-study/
"Kamala Harris",13.00,"Emerson College",1,NULL,404,"Registered Voters",2025-06-24,https://emersoncollegepolling.com/june-national-poll/
"Gavin Newsom",12.00,"Emerson College",1,NULL,404,"Registered Voters",2025-06-24,https://emersoncollegepolling.com/june-national-poll/
"Josh Shapiro",7.00,"Emerson College",1,NULL,404,"Registered Voters",2025-06-24,https://emersoncollegepolling.com/june-national-poll/
"Gretchen Whitmer",3.00,"Emerson College",1,NULL,404,"Registered Voters",2025-06-24,https://emersoncollegepolling.com/june-national-poll/
"Amy Klobuchar",1.00,"Emerson College",1,NULL,404,"Registered Voters",2025-06-24,https://emersoncollegepolling.com/june-national-poll/
"Rahm Emanuel",1.00,"Emerson College",1,NULL,404,"Registered Voters",2025-06-24,https://emersoncollegepolling.com/june-national-poll/
"Cory Booker",3.00,"Emerson College",1,NULL,404,"Registered Voters",2025-06-24,https://emersoncollegepolling.com/june-national-poll/
"Pete Buttigieg",16.00,"Emerson College",1,NULL,404,"Registered Voters",2025-06-24,https://emersoncollegepolling.com/june-national-poll/
"Andy Beshear",2.00,"Emerson College",1,NULL,404,"Registered Voters",2025-06-24,https://emersoncollegepolling.com/june-national-poll/
"Alexandra Ocasio-Cortez",7.00,"Emerson College",1,NULL,404,"Registered Voters",2025-06-24,https://emersoncollegepolling.com/june-national-poll/
"J.B. Pritzker",2.00,"Emerson College",1,NULL,404,"Registered Voters",2025-06-24,https://emersoncollegepolling.com/june-national-poll/
"Kamala Harris",32.00,"Echelon Insights",1,NULL,471,"Likely Voters",2025-05-08,https://echeloninsights.com/in-the-news/may-2025-verified-voter-omnibus-2-2-2-2-2/
"Gavin Newsom",5.00,"Echelon Insights",1,NULL,471,"Likely Voters",2025-05-08,https://echeloninsights.com/in-the-news/may-2025-verified-voter-omnibus-2-2-2-2-2/
"Josh Shapiro",2.00,"Echelon Insights",1,NULL,471,"Likely Voters",2025-05-08,https://echeloninsights.com/in-the-news/may-2025-verified-voter-omnibus-2-2-2-2-2/
"Pete Buttigieg",10.00,"Echelon Insights",1,NULL,471,"Likely Voters",2025-05-08,https://echeloninsights.com/in-the-news/may-2025-verified-voter-omnibus-2-2-2-2-2/
"Tim Walz",5.00,"Echelon Insights",1,NULL,471,"Likely Voters",2025-05-08,https://echeloninsights.com/in-the-news/may-2025-verified-voter-omnibus-2-2-2-2-2/
"Alexandria Ocasio-Cortez",8.00,"Echelon Insights",1,NULL,471,"Likely Voters",2025-05-08,https://echeloninsights.com/in-the-news/may-2025-verified-voter-omnibus-2-2-2-2-2/
"J.B. Pritzker",5.00,"Echelon Insights",1,NULL,471,"Likely Voters",2025-05-08,https://echeloninsights.com/in-the-news/may-2025-verified-voter-omnibus-2-2-2-2-2/
"Jasmine Crockett",3.00,"Echelon Insights",1,NULL,471,"Likely Voters",2025-05-08,https://echeloninsights.com/in-the-news/may-2025-verified-voter-omnibus-2-2-2-2-2/
"Gretchen Whitmer",2.00,"Echelon Insights",1,NULL,471,"Likely Voters",2025-05-08,https://echeloninsights.com/in-the-news/may-2025-verified-voter-omnibus-2-2-2-2-2/
"Andy Beshear",1.00,"Echelon Insights",1,NULL,471,"Likely Voters",2025-05-08,https://echeloninsights.com/in-the-news/may-2025-verified-voter-omnibus-2-2-2-2-2/
"Cory Booker",6.00,"Echelon Insights",1,NULL,471,"Likely Voters",2025-05-08,https://echeloninsights.com/in-the-news/may-2025-verified-voter-omnibus-2-2-2-2-2/
"Raphael Warnock",1.00,"Echelon Insights",1,NULL,471,"Likely Voters",2025-05-08,https://echeloninsights.com/in-the-news/may-2025-verified-voter-omnibus-2-2-2-2-2/
"Alexandria Ocasio-Cortez",2.00,"Emerson College",1,NULL,400,"Registered Voters",2024-11-20,https://emersoncollegepolling.com/november-2024-national-poll-trump-favorability-jumps-post-election-2028-election-kicks-off-with-harris-and-vance-leading-primaries/
"Alexandria Ocasio-Cortez",7.00,"YouGov/The Times",1,NULL,1296,NULL,2025-04-22,https://d3nkl3psvxxpe9.cloudfront.net/documents/times_20250425.pdf
"Alexandria Ocasio-Cortez",7.00,"Emerson College",1,NULL,404,"Registered Voters",2025-06-24,https://emersoncollegepolling.com/june-national-poll/
"Gretchen Whitmer",3.00,"McLaughlin & Associates",1,NULL,428,"Likely Voters",2024-12-11,https://mclaughlinonline.com/pols/wp-content/uploads/2024/12/National-December-Presentation-RELEASE-12-17-24.pdf
"Kamala Harris",38.00,"Overton Insights",1,NULL,396,"Registered Voters",2025-06-23,https://overtoninsights.com/wp-content/uploads/2025/07/July-2025-Poll.pdf
"Gavin Newsom",10.00,"Overton Insights",1,NULL,396,"Registered Voters",2025-06-23,https://overtoninsights.com/wp-content/uploads/2025/07/July-2025-Poll.pdf
"Josh Shapiro",7.00,"Overton Insights",1,NULL,396,"Registered Voters",2025-06-23,https://overtoninsights.com/wp-content/uploads/2025/07/July-2025-Poll.pdf
"Gretchen Whitmer",5.00,"Overton Insights",1,NULL,396,"Registered Voters",2025-06-23,https://overtoninsights.com/wp-content/uploads/2025/07/July-2025-Poll.pdf
"Cory Booker",4.00,"Overton Insights",1,NULL,396,"Registered Voters",2025-06-23,https://overtoninsights.com/wp-content/uploads/2025/07/July-2025-Poll.pdf
"Pete Buttigieg",11.00,"Overton Insights",1,NULL,396,"Registered Voters",2025-06-23,https://overtoninsights.com/wp-content/uploads/2025/07/July-2025-Poll.pdf
"Tim Walz",7.00,"Overton Insights",1,NULL,396,"Registered Voters",2025-06-23,https://overtoninsights.com/wp-content/uploads/2025/07/July-2025-Poll.pdf
"Alexandria Ocasio-Cortez",7.00,"Overton Insights",1,NULL,396,"Registered Voters",2025-06-23,https://overtoninsights.com/wp-content/uploads/2025/07/July-2025-Poll.pdf
"Kamala Harris",22.00,"Rasmussen Reports",1,NULL,1229,"Likely Voters",2025-06-25,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/harris_2028_former_vp_still_leads_democratic_field
"Gavin Newsom",12.00,"Rasmussen Reports",1,NULL,1229,"Likely Voters",2025-06-25,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/harris_2028_former_vp_still_leads_democratic_field
"Josh Shapiro",12.00,"Rasmussen Reports",1,NULL,1229,"Likely Voters",2025-06-25,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/harris_2028_former_vp_still_leads_democratic_field
"Cory Booker",6.00,"Rasmussen Reports",1,NULL,1229,"Likely Voters",2025-06-25,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/harris_2028_former_vp_still_leads_democratic_field
"Pete Buttigieg",8.00,"Rasmussen Reports",1,NULL,1229,"Likely Voters",2025-06-25,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/harris_2028_former_vp_still_leads_democratic_field
"Tim Walz",5.00,"Rasmussen Reports",1,NULL,1229,"Likely Voters",2025-06-25,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/harris_2028_former_vp_still_leads_democratic_field
"Alexandria Ocasio-Cortez",6.00,"Rasmussen Reports",1,NULL,1229,"Likely Voters",2025-06-25,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/harris_2028_former_vp_still_leads_democratic_field
"Kamala Harris",26.00,"Echelon Insights",1,NULL,505,"Likely Voters",2025-07-10,https://echeloninsights.com/in-the-news/july-2025-verified-voter-omnibus-2-2-2-2-2-2-2/
"Gavin Newsom",10.00,"Echelon Insights",1,NULL,505,"Likely Voters",2025-07-10,https://echeloninsights.com/in-the-news/july-2025-verified-voter-omnibus-2-2-2-2-2-2-2/
"Josh Shapiro",4.00,"Echelon Insights",1,NULL,505,"Likely Voters",2025-07-10,https://echeloninsights.com/in-the-news/july-2025-verified-voter-omnibus-2-2-2-2-2-2-2/
"Pete Buttigieg",11.00,"Echelon Insights",1,NULL,505,"Likely Voters",2025-07-10,https://echeloninsights.com/in-the-news/july-2025-verified-voter-omnibus-2-2-2-2-2-2-2/
"Tim Walz",3.00,"Echelon Insights",1,NULL,505,"Likely Voters",2025-07-10,https://echeloninsights.com/in-the-news/july-2025-verified-voter-omnibus-2-2-2-2-2-2-2/
"Alexandria Ocasio-Cortez",6.00,"Echelon Insights",1,NULL,505,"Likely Voters",2025-07-10,https://echeloninsights.com/in-the-news/july-2025-verified-voter-omnibus-2-2-2-2-2-2-2/
"J.B. Pritzker",2.00,"Echelon Insights",1,NULL,505,"Likely Voters",2025-07-10,https://echeloninsights.com/in-the-news/july-2025-verified-voter-omnibus-2-2-2-2-2-2-2/
"Jasmine Crockett",1.00,"Echelon Insights",1,NULL,505,"Likely Voters",2025-07-10,https://echeloninsights.com/in-the-news/july-2025-verified-voter-omnibus-2-2-2-2-2-2-2/
"Gretchen Whitmer",3.00,"Echelon Insights",1,NULL,505,"Likely Voters",2025-07-10,https://echeloninsights.com/in-the-news/july-2025-verified-voter-omnibus-2-2-2-2-2-2-2/
"Andy Beshear",2.00,"Echelon Insights",1,NULL,505,"Likely Voters",2025-07-10,https://echeloninsights.com/in-the-news/july-2025-verified-voter-omnibus-2-2-2-2-2-2-2/
"Cory Booker",7.00,"Echelon Insights",1,NULL,505,"Likely Voters",2025-07-10,https://echeloninsights.com/in-the-news/july-2025-verified-voter-omnibus-2-2-2-2-2-2-2/
"Chris Murphy",2.00,"Echelon Insights",1,NULL,505,"Likely Voters",2025-07-10,https://echeloninsights.com/in-the-news/july-2025-verified-voter-omnibus-2-2-2-2-2-2-2/
"Raphael Warnock",1.00,"Echelon Insights",1,NULL,505,"Likely Voters",2025-07-10,https://echeloninsights.com/in-the-news/july-2025-verified-voter-omnibus-2-2-2-2-2-2-2/
"Kamala Harris",25.00,"McLaughlin & Associates",1,NULL,444,"Likely Voters",2025-07-09,https://mclaughlinonline.com/pols/wp-content/uploads/2025/07/National-July-Presentation-RELEASE-07-15-25.pdf
"Pete Buttigieg",8.00,"McLaughlin & Associates",1,NULL,444,"Likely Voters",2025-07-09,https://mclaughlinonline.com/pols/wp-content/uploads/2025/07/National-July-Presentation-RELEASE-07-15-25.pdf
"Gavin Newsom",9.00,"McLaughlin & Associates",1,NULL,444,"Likely Voters",2025-07-09,https://mclaughlinonline.com/pols/wp-content/uploads/2025/07/National-July-Presentation-RELEASE-07-15-25.pdf
"Alexandria Ocasio-Cortez",9.00,"McLaughlin & Associates",1,NULL,444,"Likely Voters",2025-07-09,https://mclaughlinonline.com/pols/wp-content/uploads/2025/07/National-July-Presentation-RELEASE-07-15-25.pdf
"Josh Shapiro",4.00,"McLaughlin & Associates",1,NULL,444,"Likely Voters",2025-07-09,https://mclaughlinonline.com/pols/wp-content/uploads/2025/07/National-July-Presentation-RELEASE-07-15-25.pdf
"Tim Walz",4.00,"McLaughlin & Associates",1,NULL,444,"Likely Voters",2025-07-09,https://mclaughlinonline.com/pols/wp-content/uploads/2025/07/National-July-Presentation-RELEASE-07-15-25.pdf
"Amy Klobuchar",3.00,"McLaughlin & Associates",1,NULL,444,"Likely Voters",2025-07-09,https://mclaughlinonline.com/pols/wp-content/uploads/2025/07/National-July-Presentation-RELEASE-07-15-25.pdf
"Gretchen Whitmer",4.00,"McLaughlin & Associates",1,NULL,444,"Likely Voters",2025-07-09,https://mclaughlinonline.com/pols/wp-content/uploads/2025/07/National-July-Presentation-RELEASE-07-15-25.pdf
"Roy Cooper",2.00,"McLaughlin & Associates",1,NULL,444,"Likely Voters",2025-07-09,https://mclaughlinonline.com/pols/wp-content/uploads/2025/07/National-July-Presentation-RELEASE-07-15-25.pdf
"J.B. Pritzker",2.00,"McLaughlin & Associates",1,NULL,444,"Likely Voters",2025-07-09,https://mclaughlinonline.com/pols/wp-content/uploads/2025/07/National-July-Presentation-RELEASE-07-15-25.pdf
"Jasmine Crockett",2.00,"McLaughlin & Associates",1,NULL,444,"Likely Voters",2025-07-09,https://mclaughlinonline.com/pols/wp-content/uploads/2025/07/National-July-Presentation-RELEASE-07-15-25.pdf
"Rahm Emanuel",1.00,"McLaughlin & Associates",1,NULL,444,"Likely Voters",2025-07-09,https://mclaughlinonline.com/pols/wp-content/uploads/2025/07/National-July-Presentation-RELEASE-07-15-25.pdf
"Kamala Harris",14.50,"Atlas Intel",1,NULL,1935,NULL,2025-07-13,https://atlasintel.org/poll/usa-national-2025-07-18
"Cory Booker",4.10,"Atlas Intel",1,NULL,1935,NULL,2025-07-13,https://atlasintel.org/poll/usa-national-2025-07-18
"Pete Buttigieg",26.70,"Atlas Intel",1,NULL,1935,NULL,2025-07-13,https://atlasintel.org/poll/usa-national-2025-07-18
"Gavin Newsom",15.80,"Atlas Intel",1,NULL,1935,NULL,2025-07-13,https://atlasintel.org/poll/usa-national-2025-07-18
"Alexandria Ocasio-Cortez",18.50,"Atlas Intel",1,NULL,1935,NULL,2025-07-13,https://atlasintel.org/poll/usa-national-2025-07-18
"Gretchen Whitmer",1.40,"Atlas Intel",1,NULL,1935,NULL,2025-07-13,https://atlasintel.org/poll/usa-national-2025-07-18
"Josh Shapiro",3.20,"Atlas Intel",1,NULL,1935,NULL,2025-07-13,https://atlasintel.org/poll/usa-national-2025-07-18
"Tim Walz",8.70,"Atlas Intel",1,NULL,1935,NULL,2025-07-13,https://atlasintel.org/poll/usa-national-2025-07-18
"Rahm Emanuel",0.30,"Atlas Intel",1,NULL,1935,NULL,2025-07-13,https://atlasintel.org/poll/usa-national-2025-07-18
"Raphael Warnock",0.50,"Atlas Intel",1,NULL,1935,NULL,2025-07-13,https://atlasintel.org/poll/usa-national-2025-07-18
"Kamala Harris",12.00,"Emerson College",NULL,"North Carolina",445,"Likely Voters",2025-07-28,https://emersoncollegepolling.com/north-carolina-2026-poll-cooper-starts-us-senate-race-with-six-point-lead-and-clear-name-recognition-advantage-over-whatley/
"Gavin Newsom",10.20,"Emerson College",NULL,"North Carolina",445,"Likely Voters",2025-07-28,https://emersoncollegepolling.com/north-carolina-2026-poll-cooper-starts-us-senate-race-with-six-point-lead-and-clear-name-recognition-advantage-over-whatley/
"Josh Shapiro",3.20,"Emerson College",NULL,"North Carolina",445,"Likely Voters",2025-07-28,https://emersoncollegepolling.com/north-carolina-2026-poll-cooper-starts-us-senate-race-with-six-point-lead-and-clear-name-recognition-advantage-over-whatley/
"Gretchen Whitmer",3.20,"Emerson College",NULL,"North Carolina",445,"Likely Voters",2025-07-28,https://emersoncollegepolling.com/north-carolina-2026-poll-cooper-starts-us-senate-race-with-six-point-lead-and-clear-name-recognition-advantage-over-whatley/
"Amy Klobuchar",1.00,"Emerson College",NULL,"North Carolina",445,"Likely Voters",2025-07-28,https://emersoncollegepolling.com/north-carolina-2026-poll-cooper-starts-us-senate-race-with-six-point-lead-and-clear-name-recognition-advantage-over-whatley/
"Rahm Emanuel",0.30,"Emerson College",NULL,"North Carolina",445,"Likely Voters",2025-07-28,https://emersoncollegepolling.com/north-carolina-2026-poll-cooper-starts-us-senate-race-with-six-point-lead-and-clear-name-recognition-advantage-over-whatley/
"Cory Booker",5.20,"Emerson College",NULL,"North Carolina",445,"Likely Voters",2025-07-28,https://emersoncollegepolling.com/north-carolina-2026-poll-cooper-starts-us-senate-race-with-six-point-lead-and-clear-name-recognition-advantage-over-whatley/
"Pete Buttigieg",16.80,"Emerson College",NULL,"North Carolina",445,"Likely Voters",2025-07-28,https://emersoncollegepolling.com/north-carolina-2026-poll-cooper-starts-us-senate-race-with-six-point-lead-and-clear-name-recognition-advantage-over-whatley/
"Tim Walz",3.30,"Emerson College",NULL,"North Carolina",445,"Likely Voters",2025-07-28,https://emersoncollegepolling.com/north-carolina-2026-poll-cooper-starts-us-senate-race-with-six-point-lead-and-clear-name-recognition-advantage-over-whatley/
"Andy Beshear",3.70,"Emerson College",NULL,"North Carolina",445,"Likely Voters",2025-07-28,https://emersoncollegepolling.com/north-carolina-2026-poll-cooper-starts-us-senate-race-with-six-point-lead-and-clear-name-recognition-advantage-over-whatley/
"Alexandria Ocasio-Cortez",4.10,"Emerson College",NULL,"North Carolina",445,"Likely Voters",2025-07-28,https://emersoncollegepolling.com/north-carolina-2026-poll-cooper-starts-us-senate-race-with-six-point-lead-and-clear-name-recognition-advantage-over-whatley/
"J.B. Pritzker",2.70,"Emerson College",NULL,"North Carolina",445,"Likely Voters",2025-07-28,https://emersoncollegepolling.com/north-carolina-2026-poll-cooper-starts-us-senate-race-with-six-point-lead-and-clear-name-recognition-advantage-over-whatley/
